año,decada,era,mes,id_tiempo
1989.0,1980.0,Retro,10.0,453
1985.0,1980.0,Retro,7.0,454
1989.0,1980.0,Retro,11.0,455
2021.0,2020.0,Contemporánea,9.0,456
1980.0,1980.0,Retro,9.0,457
2023.0,2020.0,Contemporánea,8.0,458
2020.0,2020.0,Contemporánea,5.0,459
2022.0,2020.0,Contemporánea,9.0,460
2021.0,2020.0,Contemporánea,12.0,461
2019.0,2010.0,Contemporánea,10.0,462
1982.0,1980.0,Retro,10.0,463
1982.0,1980.0,Retro,11.0,464
2021.0,2020.0,Contemporánea,8.0,465
1984.0,1980.0,Retro,6.0,466
2022.0,2020.0,Contemporánea,3.0,467
1982.0,1980.0,Retro,9.0,468
1984.0,1980.0,Retro,5.0,469
2023.0,2020.0,Contemporánea,3.0,470
2022.0,2020.0,Contemporánea,1.0,471
2023.0,2020.0,Contemporánea,6.0,472
1982.0,1980.0,Retro,8.0,473
1983.0,1980.0,Retro,7.0,474
1980.0,1980.0,Retro,5.0,475
1979.0,1970.0,Retro,5.0,476
1989.0,1980.0,Retro,5.0,477
1985.0,1980.0,Retro,11.0,478
1987.0,1980.0,Retro,4.0,479
1987.0,1980.0,Retro,2.0,480
1986.0,1980.0,Retro,2.0,481
2022.0,2020.0,Contemporánea,4.0,482
2021.0,2020.0,Contemporánea,5.0,483
2021.0,2020.0,Contemporánea,10.0,484
2023.0,2020.0,Contemporánea,11.0,485
2023.0,2020.0,Contemporánea,5.0,486
2021.0,2020.0,Contemporánea,3.0,487
2023.0,2020.0,Contemporánea,9.0,488
2023.0,2020.0,Contemporánea,10.0,489
2022.0,2020.0,Contemporánea,8.0,490
2022.0,2020.0,Contemporánea,5.0,491
1981.0,1980.0,Retro,9.0,492
2023.0,2020.0,Contemporánea,1.0,493
2021.0,2020.0,Contemporánea,11.0,494
2023.0,2020.0,Contemporánea,7.0,495
2022.0,2020.0,Contemporánea,7.0,496
2024.0,2020.0,Contemporánea,1.0,497
2024.0,2020.0,Contemporánea,2.0,498
1971.0,1970.0,Retro,12.0,499
1990.0,1990.0,Retro,5.0,500
1985.0,1980.0,Retro,4.0,501
2021.0,2020.0,Contemporánea,1.0,502
2021.0,2020.0,Contemporánea,4.0,503
1980.0,1980.0,Retro,8.0,504
1984.0,1980.0,Retro,9.0,505
1985.0,1980.0,Retro,8.0,506
1980.0,1980.0,Retro,10.0,507
1983.0,1980.0,Retro,11.0,508
1980.0,1980.0,Retro,11.0,509
1981.0,1980.0,Retro,7.0,510
1982.0,1980.0,Retro,4.0,511
2023.0,2020.0,Contemporánea,2.0,512
1988.0,1980.0,Retro,5.0,513
1984.0,1980.0,Retro,7.0,514
1982.0,1980.0,Retro,3.0,515
1982.0,1980.0,Retro,7.0,516
1978.0,1970.0,Retro,10.0,517
